user_id,timestamp,group,converted
USR_01777,2026-06-01 00:01:13,control,0
USR_08522,2026-06-01 00:01:56,control,0
USR_06606,2026-06-01 00:02:13,control,0
USR_07492,2026-06-01 00:04:06,control,0
USR_04146,2026-06-01 00:04:35,control,1
USR_09071,2026-06-01 00:06:49,treatment,0
USR_19504,2026-06-01 00:07:15,treatment,0
USR_01208,2026-06-01 00:09:05,treatment,1
USR_05934,2026-06-01 00:09:31,control,0
USR_18291,2026-06-01 00:10:00,treatment,1
USR_02609,2026-06-01 00:10:45,control,0
USR_13114,2026-06-01 00:11:39,control,0
USR_03323,2026-06-01 00:12:12,treatment,0
USR_07037,2026-06-01 00:12:28,control,0
USR_00332,2026-06-01 00:13:36,treatment,0
USR_18754,2026-06-01 00:15:10,control,0
USR_07335,2026-06-01 00:15:27,control,0
USR_19807,2026-06-01 00:15:44,control,0
USR_11057,2026-06-01 00:19:07,treatment,0
USR_07612,2026-06-01 00:21:22,treatment,0
USR_16358,2026-06-01 00:21:26,treatment,0
USR_16517,2026-06-01 00:23:20,treatment,0
USR_15646,2026-06-01 00:27:08,control,0
USR_08034,2026-06-01 00:29:19,control,0
USR_10938,2026-06-01 00:29:33,treatment,0
USR_04602,2026-06-01 00:30:03,control,0
USR_06559,2026-06-01 00:30:23,treatment,1
USR_08720,2026-06-01 00:31:52,control,0
USR_07034,2026-06-01 00:32:22,control,0
USR_06434,2026-06-01 00:33:18,control,0
USR_16862,2026-06-01 00:33:35,treatment,1
USR_08007,2026-06-01 00:33:39,control,0
USR_16155,2026-06-01 00:35:39,treatment,0
USR_16342,2026-06-01 00:36:04,treatment,0
USR_13750,2026-06-01 00:36:57,treatment,0
USR_10307,2026-06-01 00:38:12,treatment,0
USR_13982,2026-06-01 00:41:20,treatment,0
USR_00671,2026-06-01 00:41:28,control,0
USR_15074,2026-06-01 00:42:03,treatment,1
USR_12611,2026-06-01 00:44:01,treatment,0
USR_12083,2026-06-01 00:44:10,control,0
USR_14515,2026-06-01 00:44:13,control,0
USR_11286,2026-06-01 00:44:24,treatment,0
USR_04859,2026-06-01 00:44:41,control,0
USR_09063,2026-06-01 00:45:54,control,1
USR_04130,2026-06-01 00:45:59,treatment,0
USR_10910,2026-06-01 00:47:16,treatment,0
USR_19534,2026-06-01 00:48:12,treatment,0
USR_18042,2026-06-01 00:48:19,treatment,0
USR_10667,2026-06-01 00:48:45,control,0
USR_02410,2026-06-01 00:49:26,treatment,0
USR_14845,2026-06-01 00:51:19,control,0
USR_10967,2026-06-01 00:52:02,treatment,0
USR_06956,2026-06-01 00:52:35,control,0
USR_16305,2026-06-01 00:53:07,treatment,0
USR_07302,2026-06-01 00:54:04,control,0
USR_13435,2026-06-01 00:55:31,treatment,0
USR_08630,2026-06-01 00:56:26,treatment,0
USR_05864,2026-06-01 00:58:33,treatment,0
USR_14030,2026-06-01 00:59:51,control,0
USR_05848,2026-06-01 01:01:46,control,0
USR_08786,2026-06-01 01:02:02,treatment,0
USR_07182,2026-06-01 01:02:20,treatment,0
USR_00358,2026-06-01 01:03:49,treatment,0
USR_04657,2026-06-01 01:04:16,treatment,1
USR_11720,2026-06-01 01:04:44,control,0
USR_12646,2026-06-01 01:05:10,treatment,0
USR_09455,2026-06-01 01:05:14,treatment,0
USR_19222,2026-06-01 01:05:19,treatment,0
USR_07990,2026-06-01 01:05:43,control,0
USR_11060,2026-06-01 01:06:01,control,0
USR_12470,2026-06-01 01:06:57,control,0
USR_06253,2026-06-01 01:09:48,control,0
USR_08311,2026-06-01 01:10:00,control,0
USR_00354,2026-06-01 01:10:26,control,0
USR_15470,2026-06-01 01:14:20,control,0
USR_08002,2026-06-01 01:16:29,control,0
USR_00269,2026-06-01 01:16:50,control,0
USR_18597,2026-06-01 01:17:57,control,0
USR_18121,2026-06-01 01:18:46,control,0
USR_14202,2026-06-01 01:19:18,treatment,0
USR_17332,2026-06-01 01:20:06,treatment,0
USR_17090,2026-06-01 01:20:19,treatment,0
USR_06095,2026-06-01 01:20:44,control,0
USR_16588,2026-06-01 01:20:58,control,0
USR_17868,2026-06-01 01:21:26,control,0
USR_19714,2026-06-01 01:22:47,treatment,0
USR_02803,2026-06-01 01:23:43,treatment,0
USR_13564,2026-06-01 01:25:00,control,0
USR_11605,2026-06-01 01:26:05,treatment,0
USR_10766,2026-06-01 01:26:19,control,0
USR_03400,2026-06-01 01:26:34,treatment,0
USR_07908,2026-06-01 01:26:36,treatment,0
USR_08286,2026-06-01 01:27:40,control,1
USR_11711,2026-06-01 01:28:03,control,0
USR_08511,2026-06-01 01:28:36,control,0
USR_04678,2026-06-01 01:28:38,control,0
USR_05302,2026-06-01 01:31:19,treatment,0
USR_00508,2026-06-01 01:31:45,control,0
USR_08210,2026-06-01 01:34:25,treatment,0
USR_05178,2026-06-01 01:35:49,control,0
USR_04487,2026-06-01 01:36:08,treatment,0
USR_15310,2026-06-01 01:36:41,treatment,0
USR_03321,2026-06-01 01:37:41,treatment,0
USR_12538,2026-06-01 01:39:09,control,0
USR_15969,2026-06-01 01:40:33,control,0
USR_07311,2026-06-01 01:40:41,treatment,0
USR_03218,2026-06-01 01:40:42,treatment,0
USR_00795,2026-06-01 01:43:02,treatment,0
USR_03759,2026-06-01 01:43:22,control,0
USR_04836,2026-06-01 01:43:50,treatment,0
USR_04175,2026-06-01 01:44:06,treatment,0
USR_12685,2026-06-01 01:44:11,control,0
USR_17448,2026-06-01 01:45:26,treatment,0
USR_18557,2026-06-01 01:46:24,treatment,0
USR_15860,2026-06-01 01:49:10,treatment,0
USR_01764,2026-06-01 01:49:24,control,0
USR_10737,2026-06-01 01:50:11,treatment,0
USR_05819,2026-06-01 01:50:42,treatment,0
USR_16214,2026-06-01 01:52:52,control,0
USR_09002,2026-06-01 01:55:02,treatment,0
USR_05676,2026-06-01 01:56:08,control,0
USR_06538,2026-06-01 01:56:24,control,0
USR_14496,2026-06-01 01:56:45,control,0
USR_15619,2026-06-01 01:57:22,control,0
USR_02095,2026-06-01 01:59:48,control,0
USR_02113,2026-06-01 02:00:12,control,0
USR_18227,2026-06-01 02:00:37,treatment,0
USR_02661,2026-06-01 02:01:10,treatment,0
USR_07099,2026-06-01 02:01:12,treatment,0
USR_18573,2026-06-01 02:02:33,control,0
USR_17225,2026-06-01 02:03:05,control,0
USR_14629,2026-06-01 02:05:55,treatment,1
USR_00980,2026-06-01 02:07:56,control,0
USR_15302,2026-06-01 02:09:29,treatment,0
USR_00906,2026-06-01 02:09:34,treatment,0
USR_17460,2026-06-01 02:09:52,treatment,0
USR_02152,2026-06-01 02:10:21,treatment,1
USR_01958,2026-06-01 02:11:54,treatment,0
USR_09750,2026-06-01 02:12:34,treatment,0
USR_17253,2026-06-01 02:12:54,control,0
USR_19972,2026-06-01 02:13:24,control,0
USR_02278,2026-06-01 02:14:24,control,0
USR_08385,2026-06-01 02:15:04,control,0
USR_11200,2026-06-01 02:15:33,treatment,0
USR_09944,2026-06-01 02:16:08,control,0
USR_16341,2026-06-01 02:16:44,treatment,0
USR_15936,2026-06-01 02:17:47,control,0
USR_10791,2026-06-01 02:18:35,treatment,1
USR_07870,2026-06-01 02:18:57,control,0
